Unit ID,ISP,Technology,Download,Upload,timezone_offset,timezone_offset_dst,STATE,REGION
11385,Cox,CABLE,25,5,-7,-7,AZ,WEST
12022,Cox,CABLE,50,5,-7,-7,AZ,WEST
12239,Cox,CABLE,50,5,-6,-5,AZ,WEST
13085,Cox,CABLE,5,1,-7,-7,AZ,WEST
13093,Cox,CABLE,1,0.384,-7,-7,AZ,WEST
13107,Qwest,DSL,20,5,-7,-7,AZ,WEST
13147,Qwest,DSL,1.5,0.896,-7,-7,AZ,WEST
13302,Cox,CABLE,5,1,-6,-5,AZ,WEST
13313,Time Warner Cable,CABLE,50,5,-7,-7,AZ,WEST
13314,Cox,CABLE,25,5,-7,-7,AZ,WEST
13331,Cox,CABLE,50,5,-7,-7,AZ,WEST
13337,Cox,CABLE,25,5,-7,-7,AZ,WEST
13338,Cox,CABLE,50,5,-7,-7,AZ,WEST
13352,Cox,CABLE,25,5,-7,-7,AZ,WEST
13354,Cox,CABLE,50,5,-7,-7,AZ,WEST
13375,Cox,CABLE,25,5,-6,-5,AZ,WEST
13484,Cox,CABLE,25,5,-6,-5,AZ,WEST
13489,Cox,CABLE,50,5,-7,-7,AZ,WEST
13561,Cox,CABLE,5,1,-7,-7,AZ,WEST
13574,Qwest,DSL,12,0.896,-7,-7,AZ,WEST
27159,Cox,CABLE,150,20,-7,-7,AZ,WEST
27196,Cox,CABLE,5,1,-7,-7,AZ,WEST
27198,Cox,CABLE,50,5,-7,-7,AZ,WEST
28137,Cox,CABLE,50,5,-7,-7,AZ,WEST
28138,Cox,CABLE,25,5,-7,-7,AZ,WEST
28140,Cox,CABLE,50,5,-7,-7,AZ,WEST
28141,Cox,CABLE,25,5,-7,-7,AZ,WEST
28146,Cox,CABLE,25,5,-7,-7,AZ,WEST
28147,Cox,CABLE,25,5,-6,-5,AZ,WEST
28149,Cox,REMOVE,REMOVE,REMOVE,-7,-7,AZ,WEST
28154,Cox,CABLE,50,5,-7,-7,AZ,WEST
28155,Cox,CABLE,50,5,-7,-7,AZ,WEST
28156,Cox,CABLE,25,5,-7,-7,AZ,WEST
28158,Cox,CABLE,25,5,-7,-7,AZ,WEST
28164,Qwest,DSL,20,5,-7,-7,AZ,WEST
28165,Cox,CABLE,25,5,-7,-7,AZ,WEST
28166,Qwest,DSL,12,0.896,-7,-7,AZ,WEST
28169,Cox,CABLE,50,5,-7,-7,AZ,WEST
28175,Qwest,DSL,40,5,-7,-7,AZ,WEST
28177,Qwest,REMOVE,REMOVE,REMOVE,-7,-7,AZ,WEST
28183,Cox,CABLE,25,5,-7,-7,AZ,WEST
28977,Cox,CABLE,50,5,-7,-7,AZ,WEST
28979,Cox,REMOVE,REMOVE,REMOVE,-7,-7,AZ,WEST
28984,Cox,CABLE,25,5,-7,-7,AZ,WEST
29659,Qwest,DSL,20,0.896,-7,-6,AZ,WEST
29664,Cox,CABLE,5,1,-7,-6,AZ,WEST
29665,Cox,CABLE,25,5,-6,-5,AZ,WEST
29670,Cox,CABLE,25,5,-7,-6,AZ,WEST
29672,Qwest,DSL,20,5,-6,-5,AZ,WEST
29674,Comcast,CABLE,3,0.768,-7,-6,AZ,WEST
29676,Qwest,REMOVE,REMOVE,REMOVE,-7,-7,AZ,WEST
29698,Comcast,CABLE,25,5,-5,-4,AZ,WEST
32392,Wildblue/ViaSat,SATELLITE,12,3,-6,-5,AZ,WEST
32449,Cox,CABLE,100,10,-5,-4,AZ,WEST
32505,Cox,CABLE,50,5,-7,-6,AZ,WEST
150222,Qwest,DSL,7,0.896,-7,-7,AZ,WEST
200308,Cox,CABLE,25,5,-7,-6,AZ,WEST
207624,Comcast,REMOVE,REMOVE,REMOVE,-8,-7,AZ,WEST
210444,Qwest,DSL,3,0.64,-7,-7,AZ,WEST
211526,Cox,CABLE,50,5,-7,-6,AZ,WEST
211528,Qwest,DSL,12,0.896,-7,-6,AZ,WEST
213570,Cox,CABLE,50,5,-7,-6,AZ,WEST
213572,Qwest,DSL,20,5,-7,-7,AZ,WEST
214018,Cox,CABLE,25,5,-7,-7,AZ,WEST
214032,Cox,CABLE,50,5,-7,-6,AZ,WEST
214034,Comcast,CABLE,50,10,-7,-6,AZ,WEST
214136,Cox,CABLE,150,20,-7,-7,AZ,WEST
215204,Cox,CABLE,50,5,-5,-4,AZ,WEST
215250,Cox,CABLE,50,5,-7,-6,AZ,WEST
215768,Qwest,DSL,3,0.64,-7,-6,AZ,WEST
216236,Qwest,DSL,40,5,-7,-7,AZ,WEST
216238,Qwest,DSL,20,0.896,-7,-7,AZ,WEST
216728,Miscellaneous,REMOVE,MISC,MISC,-7,-6,AZ,WEST
216778,Cox,CABLE,100,10,-7,-6,AZ,WEST
222085,Cox,CABLE,50,5,-7,-6,AZ,WEST
232914,Qwest,DSL,20,5,-7,-6,AZ,WEST
232960,Cox,REMOVE,REMOVE,REMOVE,-7,-7,AZ,WEST
232968,Cox,CABLE,50,5,-7,-6,AZ,WEST
232988,Qwest,DSL,20,0.896,-7,-6,AZ,WEST
