Unit ID,ISP,Technology,State,Census,timezone_offset,timezone_offset_dst,Download,Download - Lower Bound,Download - Upper Bound,Upload,Whitebox Model
1001126,Cox,Cable,CA,West,-8,-7,100,100,100,10,SK Whitebox 8.0
1001132,Cox,Cable,OK,South,-6,-5,100,100,100,10,SK Whitebox 8.0
1001156,Cox,Cable,AZ,West,-7,-7,100,100,100,10,SK Whitebox 8.0
1001166,Cox,Cable,AZ,West,-7,-7,150,150,150,10,SK Whitebox 8.0
1001172,Cox,Cable,FL,South,-5,-4,100,100,100,10,SK Whitebox 8.0
1001180,Cox,Cable,LA,South,-6,-5,100,100,100,10,SK Whitebox 8.0
1001188,Verizon,Fiber,MA,Northeast,-5,-4,50,50,50,50,SK Whitebox 8.0
1001194,Cox,Cable,VA,South,-5,-4,300,300,300,30,SK Whitebox 8.0
1001196,Frontier,DSL,PA,Northeast,-5,-4,24,24,24,1,SK Whitebox 8.0
1001198,Charter,Cable,CA,West,-8,-7,200,200,200,10,SK Whitebox 8.0
1001208,Cox,Cable,KS,Midwest,-6,-5,100,100,100,10,SK Whitebox 8.0
1001222,Cox,Cable,CA,West,-8,-7,150,150,150,10,SK Whitebox 8.0
1001230,Verizon,Fiber,NY,Northeast,-5,-4,50,50,50,50,SK Whitebox 8.0
1001232,Verizon,Fiber,NJ,Northeast,-5,-4,50,50,50,50,SK Whitebox 8.0
